"rectype","issueid","project_owner","project_name","actor","time","text","action","title"
"issue_title","67","pycqa","astroid","pylint-bot","2014-12-11 15:17:05","Originally reported by: **Claudiu Popa (BitBucket: [PCManticore](http://bitbucket.org/PCManticore), GitHub: @PCManticore)**

---

For this code, Pylint emits an assigning-non-slot, since Class.slots() tries to infer them, even if it is old style class. 

```
#!python

class A:
    __slots__ = ['a']

    def __init__(self):
        self.b = 42

A()
```

---
- Bitbucket: https://bitbucket.org/logilab/astroid/issue/67
","start issue","Class.slots() should raise an error on Python 2 or return YES"
"issue_closed","67","pycqa","astroid","pylint-bot","2015-12-09 05:52:47","","closed issue","Class.slots() should raise an error on Python 2 or return YES"
"issue_comment","67","pycqa","astroid","pylint-bot","2015-03-14 13:33:44","_Original comment by_ **Claudiu Popa (BitBucket: [PCManticore](http://bitbucket.org/PCManticore), GitHub: @PCManticore)**:

---

Class.slots raises NotImplementedError for old style classes.

Closes issue #67.
","",""
