"rectype","issueid","project_owner","project_name","actor","time","text","action","title"
"issue_title","752","nilearn","nilearn","AlexandreAbraham","2015-08-05 16:10:25","And actually, it squashes the last dimensions, which is pretty bad.
","start issue","`concat_niimgs` only handles 3D/4D but does not raise error if data is >4D"
"issue_closed","752","nilearn","nilearn","AlexandreAbraham","2015-08-08 15:43:23","","closed issue","`concat_niimgs` only handles 3D/4D but does not raise error if data is >4D"
