"rectype","issueid","project_owner","project_name","actor","time","text","action","title"
"issue_title","205","pycqa","astroid","pylint-bot","2015-10-04 00:44:28","Originally reported by: **BitBucket: [ceridwenv](http://bitbucket.org/ceridwenv), GitHub: @ceridwen**

---

Now that we're using wrapt and lazy_object_proxy, would replacing bases.Proxy make sense?  Even if we don't need the broader functionality, it would remove some code.

---
- Bitbucket: https://bitbucket.org/logilab/astroid/issue/205
","start issue","Consider using a real proxy in place of bases.Proxy"
"issue_comment","205","pycqa","astroid","pylint-bot","2015-10-04 11:00:41","_Original comment by_ **Claudiu Popa (BitBucket: [PCManticore](http://bitbucket.org/PCManticore), GitHub: @PCManticore)**:

---

Sounds fine to me. 
","",""
