"rectype","issueid","project_owner","project_name","actor","time","text","action","title"
"issue_title","21","pycqa","astroid","pylint-bot","2014-03-18 18:51:30","Originally reported by: **Sylvain Thénault (BitBucket: [sthenault](http://bitbucket.org/sthenault), GitHub: @sthenault?)**

---

it currently uses dir(object), which leads to a lot of duplicated information (eg inherited methods).

We should probably use `__dict__`, `__bases__` and so on.

---
- Bitbucket: https://bitbucket.org/logilab/astroid/issue/21
","start issue","rewrite inspect build"
"issue_closed","21","pycqa","astroid","pylint-bot","2015-12-09 05:51:53","","closed issue","rewrite inspect build"
"issue_comment","21","pycqa","astroid","pylint-bot","2015-11-14 05:19:48","_Original comment by_ **BitBucket: [ceridwenv](http://bitbucket.org/ceridwenv), GitHub: @ceridwen**:

---

Done in 3e3b3e936b69
","",""
