"rectype","issueid","project_owner","project_name","actor","time","text","action","title"
"issue_title","38","pycqa","astroid","pylint-bot","2014-07-24 10:11:11","Originally reported by: **Claudiu Popa (BitBucket: [PCManticore](http://bitbucket.org/PCManticore), GitHub: @PCManticore)**

---

```
#!python

FAIL: test_builtin_lookup (unittest_lookup.LookupTC)
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""/home/ubuntu/src/bitbucket.org/logilab/astroid/.tox/py33/lib/python3.3/site-packages/astroid/test/unittest_lookup.py"", line 274, in test_builtin_lookup
    self.assertIs(intstmts[0], nodes.const_factory(1)._proxied)
AssertionError: <Class(int) l.None [builtins] at 0x7fd5e4222950> is not <Class(int) l.None [builtins] at 0x7fd5e5047cd0>

```

---
- Bitbucket: https://bitbucket.org/logilab/astroid/issue/38
","start issue","builtin cache failure"
"issue_closed","38","pycqa","astroid","pylint-bot","2015-12-09 05:52:12","","closed issue","builtin cache failure"
"issue_comment","38","pycqa","astroid","pylint-bot","2014-07-25 13:25:00","_Original comment by_ **Claudiu Popa (BitBucket: [PCManticore](http://bitbucket.org/PCManticore), GitHub: @PCManticore)**:

---

Already fixed by Torsten.
","",""
