"rectype","issueid","project_owner","project_name","actor","time","text","action","title"
"issue_title","1160","nilearn","nilearn","KamalakerDadi","2016-07-04 13:36:00","It makes easier to set base for decoder object in nilearn which actually requires lot of backports for versions. #1148 

I don't have great justifications though. Let me know if I miss something important in nilearn which we need to take into account dropping 0.13.

FYI: https://packages.debian.org/jessie/python-sklearn

Discussions are welcome.
","start issue","Dropping scikit-learn dependency < 0.14.1"
"issue_closed","1160","nilearn","nilearn","AlexandreAbraham","2016-07-07 12:11:06","","closed issue","Dropping scikit-learn dependency < 0.14.1"
"issue_comment","1160","nilearn","nilearn","AlexandreAbraham","2016-07-04 13:38:23","0.14.1 is very old. This seems like a safe move to me.

+1.
","",""
"issue_comment","1160","nilearn","nilearn","KamalakerDadi","2016-07-05 15:54:41","OK, I am assigning myself to address this issue.
","",""
