"rectype","issueid","project_owner","project_name","actor","time","text","action","title"
"issue_title","1310","nilearn","nilearn","AlexandreAbraham","2016-10-13 11:14:00","https://github.com/nilearn/nilearn/blob/9ee1c8d3b5d26937629cc62ce04cf8d4eb18a028/nilearn/image/image.py#L631

This should be `cal_min`
`header['cal_max'] = np.min(data) if data.size > 0 else 0.`
","start issue","Wrong value for Nifti header"
"issue_closed","1310","nilearn","nilearn","AlexandreAbraham","2016-10-25 13:18:01","","closed issue","Wrong value for Nifti header"
