"rectype","issueid","project_owner","project_name","actor","time","text","action","title"
"issue_title","143","aio-libs","aioredis","pyup-bot","2016-09-27 11:10:03","flake8 is not pinned to a specific version.

I'm pinning it to the latest version **3.0.4** for now.

_I couldn't find a changelog for this release._ 

_Got merge conflicts? Close this PR and delete the branch. I'll create a new PR for you._

Happy merging! 🤖
","start issue","Pin flake8 to latest version 3.0.4"
"issue_closed","143","aio-libs","aioredis","asvetlov","2016-09-27 12:10:23","","closed issue","Pin flake8 to latest version 3.0.4"
"pull_request_title","143","aio-libs","aioredis","pyup-bot","2016-09-27 11:10:03","flake8 is not pinned to a specific version.

I'm pinning it to the latest version **3.0.4** for now.

_I couldn't find a changelog for this release._ 

_Got merge conflicts? Close this PR and delete the branch. I'll create a new PR for you._

Happy merging! 🤖
","7a8b0c35bce1f0665679b7444cdbb0f48e693c15","Pin flake8 to latest version 3.0.4"
"issue_comment","143","aio-libs","aioredis","coveralls","2016-09-27 11:38:48","[![Coverage Status](https://coveralls.io/builds/8069918/badge)](https://coveralls.io/builds/8069918)

Coverage decreased (-0.02%) to 97.055% when pulling **7a8b0c35bce1f0665679b7444cdbb0f48e693c15 on pyup-pin-flake8-3.0.4** into **e919cbb556715a1f7ff43d142be5cc0c22931892 on master**.
","",""
"pull_request_commit","143","aio-libs","aioredis","pyup-bot","2016-09-27 11:10:02","Pin flake8 to latest version 3.0.4","7a8b0c35bce1f0665679b7444cdbb0f48e693c15",""
