,rectype,issueid,project_owner,project_name,actor,time,text,action,title,provenance,paths,plus_1,urls,issues,userref,code,formatted_time
10362,pull_request_commit,1016.0,nilearn,nilearn,Joaoloula,2016-10-25 12:35:17,added fsaverage5 description,9791baa0005c10df77bcbda5d2626a78ed01ed0c,,api.github.com,,False,[],[],[],[],2016-10-25
10363,pull_request_commit,1016.0,nilearn,nilearn,Joaoloula,2016-10-26 11:59:14,addressed julia's comments on the PR,af75cd01b9f72cb7234f7b27a862a770ea1db287,,api.github.com,,False,[],[],[],[],2016-10-26
10901,pull_request_commit,1271.0,nilearn,nilearn,KamalakerDadi,2016-10-26 13:38:45,Addressed comments:Fixed testing sig is finite after ensure_finite=True,5af0dccd7cd5bd5bf4db1272391b383031a8e005,,api.github.com,,False,[],[],[],[],2016-10-26
10974,pull_request_commit,1315.0,nilearn,nilearn,KamalakerDadi,2016-10-24 17:39:36,Fix: add_contours (filled=True) which will not require to specify color or alpha,0e0f35581608082d9752fa5dba776bbe880a8ae2,,api.github.com,,False,[],[],[],[],2016-10-24
10975,pull_request_commit,1315.0,nilearn,nilearn,KamalakerDadi,2016-10-25 19:12:03,Addressed comments:documentation nitpick and tests to check one value given in levels,7365b4359e3a318c79a58b3bb6c31d44c7131e2a,,api.github.com,,False,[],[],[],[],2016-10-25
10979,pull_request_commit,1316.0,nilearn,nilearn,Joaoloula,2016-10-25 12:54:52,Merge branch 'master' of git://github.com/nilearn/nilearn into jaccard_index,7c11db74ce1908bd390c3571becce10fbc85cd34,,api.github.com,,False,[],[],[],[],2016-10-25
10980,pull_request_commit,1316.0,nilearn,nilearn,Joaoloula,2016-10-25 13:04:58,updated haxby fetcher documentation and abide fetcher link,9e6f6e24e54fe0df2b5c8bf97e59626dac8bd3ea,,api.github.com,,False,[],[],[],[],2016-10-25
10981,pull_request_commit,1316.0,nilearn,nilearn,Joaoloula,2016-10-25 13:14:39,updated haxby fetcher documentation and abide fetcher link,dce978d4ccf3be67807a849729a66959ea0b8974,,api.github.com,,False,[],[],[],[],2016-10-25
11312,pull_request_commit,1387.0,nilearn,nilearn,Joaoloula,2016-10-25 12:28:05,"created fsaverage5 fetcher, separated surface plot examples, updated doc",3f149d91da4a5cc076514ce55c2879305171b551,,api.github.com,,False,[],[],[],[],2016-10-25
11313,pull_request_commit,1387.0,nilearn,nilearn,Joaoloula,2016-10-25 12:35:17,added fsaverage5 description,bf130696980c6cca6203c1f9cde17ed8d84b934f,,api.github.com,,False,[],[],[],[],2016-10-25
11314,pull_request_commit,1387.0,nilearn,nilearn,Joaoloula,2016-10-26 11:59:14,addressed julia's comments on the PR,b9d7cd6dea811aae3af936c2336ddad0f5d9e8ab,,api.github.com,,False,[],[],[],[],2016-10-26
